x,y,z
10.906,3.003,16.765
10.753,2.994,16.864
10.576,2.995,16.975
10.344,2.995,17.117
10.057,2.991,17.288
9.717,2.987,17.481
9.333,2.984,17.689
8.910,2.980,17.906
8.457,2.971,18.124
7.980,2.954,18.339
7.487,2.919,18.546
6.974,2.864,18.745
6.447,2.792,18.932
5.911,2.701,19.107
5.373,2.590,19.265
4.833,2.458,19.407
4.296,2.309,19.533
3.766,2.147,19.642
3.251,1.975,19.734
2.758,1.796,19.809
2.291,1.610,19.868
1.857,1.421,19.914
1.460,1.231,19.947
1.104,1.042,19.970
0.793,0.856,19.984
0.531,0.677,19.993
0.319,0.506,19.997
0.160,0.346,19.999
0.054,0.200,20.000
0.002,0.075,20.000
-0.003,0.041,20.000
0.002,-0.006,20.000
0.028,-0.047,20.000
0.092,-0.101,20.000
0.233,-0.169,19.999
0.430,-0.223,19.995
0.677,-0.257,19.989
0.974,-0.271,19.976
1.316,-0.261,19.957
1.701,-0.229,19.928
2.125,-0.173,19.887
2.585,-0.093,19.832
3.074,0.009,19.762
3.590,0.132,19.675
4.124,0.275,19.570
4.673,0.435,19.446
5.228,0.612,19.305
5.785,0.802,19.145
6.335,1.003,18.970
6.874,1.216,18.782
7.399,1.438,18.581
7.907,1.662,18.371
8.391,1.884,18.155
8.844,2.101,17.938
9.270,2.311,17.722
9.662,2.502,17.511
10.014,2.666,17.312
10.318,2.799,17.133
10.567,2.897,16.981
10.752,2.961,16.864
10.906,3.003,16.765
