x,y,z
11.753,4.936,9.320
11.617,4.905,9.490
11.457,4.882,9.682
11.243,4.850,9.929
10.974,4.807,10.226
10.649,4.757,10.564
10.273,4.703,10.930
9.850,4.643,11.313
9.387,4.575,11.700
8.891,4.494,12.081
8.369,4.391,12.448
7.818,4.261,12.801
7.245,4.110,13.135
6.654,3.936,13.443
6.056,3.738,13.723
5.451,3.514,13.974
4.844,3.272,14.196
4.243,3.016,14.387
3.657,2.749,14.547
3.093,2.476,14.678
2.559,2.199,14.780
2.063,1.921,14.858
1.609,1.647,14.913
1.205,1.379,14.952
0.854,1.120,14.976
0.560,0.874,14.990
0.325,0.644,14.996
0.152,0.434,14.999
0.041,0.247,15.000
-0.006,0.091,15.000
-0.008,0.049,15.000
