x,y,z
10.906,3.003,16.765
10.753,2.994,16.864
10.576,2.995,16.975
10.344,2.995,17.117
10.057,2.991,17.288
9.717,2.987,17.481
9.333,2.984,17.689
8.910,2.980,17.906
8.457,2.971,18.124
7.980,2.954,18.339
7.487,2.919,18.546
6.974,2.864,18.745
6.447,2.792,18.932
5.911,2.701,19.107
5.373,2.590,19.265
4.833,2.458,19.407
4.296,2.309,19.533
3.766,2.147,19.642
3.251,1.975,19.734
2.758,1.796,19.809
2.291,1.610,19.868
1.857,1.421,19.914
1.460,1.231,19.947
1.104,1.042,19.970
0.793,0.856,19.984
0.531,0.677,19.993
0.319,0.506,19.997
0.160,0.346,19.999
0.054,0.200,20.000
0.002,0.075,20.000
-0.003,0.041,20.000
