x,y,z
0.003,0.012,75.000
0.000,-0.002,75.000
0.004,-0.016,75.000
0.019,-0.038,75.000
0.055,-0.070,75.000
0.109,-0.103,75.000
0.180,-0.134,75.000
0.267,-0.164,75.000
0.370,-0.190,74.999
0.488,-0.214,74.998
0.620,-0.233,74.997
0.765,-0.249,74.996
0.921,-0.261,74.994
1.087,-0.269,74.992
1.262,-0.273,74.989
1.443,-0.273,74.986
1.629,-0.269,74.982
1.818,-0.262,74.978
2.007,-0.251,74.973
2.195,-0.236,74.968
2.382,-0.218,74.962
2.565,-0.198,74.956
2.741,-0.177,74.950
2.910,-0.155,74.944
3.070,-0.133,74.937
3.219,-0.115,74.931
3.353,-0.100,74.925
3.470,-0.091,74.920
3.565,-0.086,74.915
3.635,-0.086,74.912
3.693,-0.089,74.909
