x,y,z
0.003,0.017,55.000
0.000,-0.003,55.000
0.007,-0.022,55.000
0.027,-0.050,55.000
0.078,-0.092,55.000
0.153,-0.133,55.000
0.250,-0.172,54.999
0.369,-0.207,54.999
0.509,-0.237,54.998
0.670,-0.262,54.996
0.848,-0.282,54.993
1.044,-0.295,54.990
1.255,-0.303,54.986
1.480,-0.305,54.980
1.715,-0.301,54.973
1.960,-0.291,54.965
2.210,-0.276,54.956
2.464,-0.257,54.945
2.719,-0.232,54.933
2.971,-0.202,54.920
3.222,-0.168,54.906
3.467,-0.131,54.891
3.704,-0.094,54.875
3.929,-0.055,54.859
4.143,-0.017,54.844
4.343,0.016,54.828
4.523,0.043,54.814
4.679,0.061,54.801
4.807,0.072,54.790
4.901,0.077,54.781
4.980,0.076,54.774
