x,y,z
0.003,0.016,60.000
0.000,-0.002,60.000
0.006,-0.020,60.000
0.025,-0.046,60.000
0.071,-0.086,60.000
0.139,-0.124,60.000
0.228,-0.161,60.000
0.338,-0.195,59.999
0.467,-0.224,59.998
0.614,-0.249,59.997
0.779,-0.269,59.995
0.959,-0.284,59.992
1.154,-0.293,59.989
1.361,-0.297,59.985
1.578,-0.296,59.979
1.803,-0.290,59.973
2.034,-0.280,59.966
2.268,-0.264,59.957
2.503,-0.245,59.948
2.737,-0.220,59.938
2.968,-0.191,59.927
3.194,-0.160,59.915
3.413,-0.128,59.903
3.622,-0.095,59.891
3.819,-0.063,59.878
4.004,-0.034,59.866
4.170,-0.012,59.855
4.315,0.004,59.845
4.432,0.012,59.836
4.520,0.015,59.830
4.592,0.014,59.824
