x,y,z
3.958,-0.065,69.888
3.899,-0.051,69.891
3.832,-0.033,69.895
3.745,-0.008,69.900
3.638,0.020,69.905
3.513,0.054,69.912
3.373,0.092,69.919
3.220,0.132,69.926
3.059,0.174,69.933
2.890,0.215,69.940
2.716,0.252,69.947
2.535,0.283,69.954
2.349,0.310,69.961
2.161,0.331,69.967
1.972,0.345,69.972
1.781,0.352,69.977
1.591,0.354,69.982
1.404,0.350,69.986
1.221,0.342,69.989
1.045,0.329,69.992
0.878,0.311,69.994
0.722,0.290,69.996
0.577,0.264,69.998
0.446,0.235,69.999
0.330,0.204,69.999
0.230,0.169,70.000
0.147,0.133,70.000
0.082,0.097,70.000
0.035,0.059,70.000
0.007,0.024,70.000
0.003,0.013,70.000
