x,y,z
0.003,0.021,45.000
0.000,-0.003,45.000
0.009,-0.026,45.000
0.035,-0.059,45.000
0.098,-0.108,45.000
0.189,-0.154,45.000
0.307,-0.197,44.999
0.453,-0.235,44.998
0.622,-0.266,44.996
0.816,-0.290,44.993
1.032,-0.306,44.988
1.269,-0.315,44.982
1.523,-0.316,44.974
1.794,-0.309,44.964
2.077,-0.295,44.952
2.371,-0.274,44.937
2.672,-0.247,44.921
2.976,-0.213,44.901
3.282,-0.174,44.880
3.584,-0.128,44.857
3.884,-0.077,44.832
4.177,-0.023,44.806
4.460,0.031,44.778
4.729,0.086,44.751
4.985,0.140,44.723
5.223,0.188,44.696
5.438,0.227,44.670
5.625,0.256,44.647
5.777,0.274,44.628
5.891,0.283,44.613
5.985,0.285,44.600
