x,y,z
4.592,0.014,59.824
4.524,0.028,59.829
4.446,0.048,59.835
4.345,0.074,59.842
4.220,0.105,59.851
4.074,0.141,59.862
3.911,0.182,59.872
3.733,0.226,59.884
3.545,0.271,59.895
3.348,0.315,59.907
3.145,0.353,59.918
2.935,0.386,59.928
2.719,0.412,59.938
2.500,0.432,59.948
2.280,0.445,59.957
2.059,0.449,59.965
1.839,0.446,59.972
1.621,0.438,59.978
1.409,0.424,59.983
1.206,0.405,59.988
1.012,0.381,59.991
0.831,0.352,59.994
0.664,0.320,59.996
0.513,0.283,59.998
0.379,0.244,59.999
0.263,0.202,59.999
0.168,0.158,60.000
0.093,0.114,60.000
0.039,0.070,60.000
0.008,0.028,60.000
0.003,0.016,60.000
