x,y,z
3.693,-0.089,74.909
3.638,-0.076,74.912
3.576,-0.058,74.915
3.495,-0.035,74.919
3.395,-0.008,74.923
3.279,0.025,74.928
3.148,0.061,74.934
3.006,0.100,74.940
2.856,0.141,74.946
2.699,0.180,74.951
2.536,0.215,74.957
2.368,0.246,74.963
2.195,0.272,74.968
2.019,0.293,74.973
1.843,0.308,74.977
1.665,0.316,74.982
1.488,0.319,74.985
1.313,0.317,74.989
1.142,0.310,74.991
0.978,0.299,74.994
0.822,0.284,74.995
0.676,0.265,74.997
0.541,0.242,74.998
0.418,0.216,74.999
0.310,0.188,74.999
0.216,0.156,75.000
0.138,0.123,75.000
0.077,0.089,75.000
0.033,0.055,75.000
0.007,0.022,75.000
0.003,0.012,75.000
