x,y,z
0.002,0.026,35.000
0.001,-0.004,35.000
0.013,-0.032,35.000
0.048,-0.073,35.000
0.131,-0.131,35.000
0.250,-0.184,34.999
0.403,-0.231,34.998
0.589,-0.269,34.995
0.807,-0.298,34.991
1.055,-0.316,34.984
1.330,-0.323,34.975
1.630,-0.320,34.962
1.953,-0.305,34.945
2.296,-0.279,34.925
2.654,-0.244,34.899
3.025,-0.199,34.869
3.404,-0.145,34.834
3.787,-0.083,34.795
4.170,-0.014,34.751
4.550,0.064,34.703
4.925,0.148,34.652
5.291,0.234,34.598
5.644,0.322,34.542
5.979,0.409,34.485
6.297,0.493,34.429
6.593,0.569,34.373
6.861,0.633,34.321
7.093,0.681,34.274
7.283,0.714,34.234
7.424,0.732,34.204
7.542,0.740,34.178
