x,y,z
5.985,0.285,44.600
5.895,0.300,44.612
5.793,0.321,44.626
5.660,0.349,44.643
5.496,0.382,44.663
5.304,0.421,44.686
5.089,0.465,44.711
4.856,0.512,44.737
4.608,0.560,44.763
4.350,0.606,44.789
4.083,0.644,44.814
3.807,0.674,44.839
3.525,0.696,44.862
3.238,0.710,44.883
2.951,0.713,44.903
2.662,0.706,44.921
2.374,0.690,44.937
2.091,0.666,44.951
1.816,0.636,44.963
1.551,0.599,44.973
1.300,0.556,44.981
1.065,0.508,44.987
0.848,0.456,44.992
0.653,0.400,44.995
0.480,0.340,44.997
0.332,0.279,44.999
0.210,0.216,45.000
0.115,0.154,45.000
0.047,0.093,45.000
0.009,0.037,45.000
0.003,0.021,45.000
