x,y,z
4.592,0.014,59.824
4.524,0.028,59.829
4.446,0.048,59.835
4.345,0.074,59.842
4.220,0.105,59.851
4.074,0.141,59.862
3.911,0.182,59.872
3.733,0.226,59.884
3.545,0.271,59.895
3.348,0.315,59.907
3.145,0.353,59.918
2.935,0.386,59.928
2.719,0.412,59.938
2.500,0.432,59.948
2.280,0.445,59.957
2.059,0.449,59.965
1.839,0.446,59.972
1.621,0.438,59.978
1.409,0.424,59.983
1.206,0.405,59.988
1.012,0.381,59.991
0.831,0.352,59.994
0.664,0.320,59.996
0.513,0.283,59.998
0.379,0.244,59.999
0.263,0.202,59.999
0.168,0.158,60.000
0.093,0.114,60.000
0.039,0.070,60.000
0.008,0.028,60.000
0.003,0.016,60.000
0.000,-0.002,60.000
0.006,-0.020,60.000
0.025,-0.046,60.000
0.071,-0.086,60.000
0.139,-0.124,60.000
0.228,-0.161,60.000
0.338,-0.195,59.999
0.467,-0.224,59.998
0.614,-0.249,59.997
0.779,-0.269,59.995
0.959,-0.284,59.992
1.154,-0.293,59.989
1.361,-0.297,59.985
1.578,-0.296,59.979
1.803,-0.290,59.973
2.034,-0.280,59.966
2.268,-0.264,59.957
2.503,-0.245,59.948
2.737,-0.220,59.938
2.968,-0.191,59.927
3.194,-0.160,59.915
3.413,-0.128,59.903
3.622,-0.095,59.891
3.819,-0.063,59.878
4.004,-0.034,59.866
4.170,-0.012,59.855
4.315,0.004,59.845
4.432,0.012,59.836
4.520,0.015,59.830
4.592,0.014,59.824
