x,y,z
4.263,-0.032,64.860
4.199,-0.018,64.864
4.128,0.002,64.869
4.034,0.027,64.875
3.918,0.057,64.882
3.783,0.091,64.890
3.632,0.131,64.898
3.467,0.174,64.907
3.293,0.217,64.917
3.111,0.260,64.926
2.923,0.297,64.934
2.728,0.329,64.943
2.528,0.356,64.951
2.325,0.377,64.958
2.121,0.391,64.965
1.915,0.397,64.972
1.711,0.397,64.977
1.509,0.391,64.982
1.312,0.380,64.987
1.123,0.364,64.990
0.943,0.344,64.993
0.775,0.319,64.995
0.619,0.290,64.997
0.478,0.258,64.998
0.354,0.222,64.999
0.246,0.185,65.000
0.157,0.145,65.000
0.087,0.105,65.000
0.037,0.064,65.000
0.008,0.026,65.000
0.003,0.014,65.000
0.000,-0.002,65.000
0.005,-0.019,65.000
0.022,-0.043,65.000
0.065,-0.080,65.000
0.128,-0.117,65.000
0.210,-0.152,65.000
0.312,-0.184,64.999
0.431,-0.213,64.999
0.568,-0.237,64.998
0.720,-0.257,64.996
0.887,-0.273,64.994
1.068,-0.283,64.991
1.260,-0.289,64.988
1.461,-0.290,64.984
1.671,-0.287,64.979
1.885,-0.279,64.973
2.103,-0.267,64.966
2.321,-0.251,64.959
2.538,-0.230,64.950
2.753,-0.206,64.942
2.963,-0.179,64.932
3.167,-0.152,64.923
3.361,-0.123,64.913
3.545,-0.095,64.903
3.716,-0.070,64.894
3.871,-0.051,64.885
4.005,-0.038,64.876
4.115,-0.031,64.870
4.196,-0.029,64.864
4.263,-0.032,64.860
