x,y,z
7.542,0.740,34.178
7.428,0.753,34.203
7.299,0.775,34.230
7.131,0.802,34.266
6.923,0.833,34.308
6.680,0.870,34.357
6.408,0.912,34.408
6.112,0.957,34.462
5.797,1.002,34.517
5.469,1.044,34.570
5.131,1.076,34.622
4.781,1.096,34.672
4.423,1.107,34.719
4.060,1.106,34.764
3.696,1.092,34.804
3.331,1.064,34.841
2.968,1.026,34.874
2.611,0.978,34.902
2.264,0.922,34.927
1.930,0.858,34.947
1.614,0.788,34.963
1.319,0.712,34.975
1.048,0.632,34.984
0.804,0.548,34.991
0.588,0.462,34.995
0.404,0.375,34.998
0.253,0.288,34.999
0.136,0.203,35.000
0.054,0.121,35.000
0.009,0.047,35.000
0.002,0.026,35.000
