x,y,z
4.263,-0.032,64.860
4.199,-0.018,64.864
4.128,0.002,64.869
4.034,0.027,64.875
3.918,0.057,64.882
3.783,0.091,64.890
3.632,0.131,64.898
3.467,0.174,64.907
3.293,0.217,64.917
3.111,0.260,64.926
2.923,0.297,64.934
2.728,0.329,64.943
2.528,0.356,64.951
2.325,0.377,64.958
2.121,0.391,64.965
1.915,0.397,64.972
1.711,0.397,64.977
1.509,0.391,64.982
1.312,0.380,64.987
1.123,0.364,64.990
0.943,0.344,64.993
0.775,0.319,64.995
0.619,0.290,64.997
0.478,0.258,64.998
0.354,0.222,64.999
0.246,0.185,65.000
0.157,0.145,65.000
0.087,0.105,65.000
0.037,0.064,65.000
0.008,0.026,65.000
0.003,0.014,65.000
