x,y,z
-0.003,0.041,20.000
0.002,-0.006,20.000
0.028,-0.047,20.000
0.092,-0.101,20.000
0.233,-0.169,19.999
0.430,-0.223,19.995
0.677,-0.257,19.989
0.974,-0.271,19.976
1.316,-0.261,19.957
1.701,-0.229,19.928
2.125,-0.173,19.887
2.585,-0.093,19.832
3.074,0.009,19.762
3.590,0.132,19.675
4.124,0.275,19.570
4.673,0.435,19.446
5.228,0.612,19.305
5.785,0.802,19.145
6.335,1.003,18.970
6.874,1.216,18.782
7.399,1.438,18.581
7.907,1.662,18.371
8.391,1.884,18.155
8.844,2.101,17.938
9.270,2.311,17.722
9.662,2.502,17.511
10.014,2.666,17.312
10.318,2.799,17.133
10.567,2.897,16.981
10.752,2.961,16.864
10.906,3.003,16.765
