x,y,z
0.003,0.014,65.000
0.000,-0.002,65.000
0.005,-0.019,65.000
0.022,-0.043,65.000
0.065,-0.080,65.000
0.128,-0.117,65.000
0.210,-0.152,65.000
0.312,-0.184,64.999
0.431,-0.213,64.999
0.568,-0.237,64.998
0.720,-0.257,64.996
0.887,-0.273,64.994
1.068,-0.283,64.991
1.260,-0.289,64.988
1.461,-0.290,64.984
1.671,-0.287,64.979
1.885,-0.279,64.973
2.103,-0.267,64.966
2.321,-0.251,64.959
2.538,-0.230,64.950
2.753,-0.206,64.942
2.963,-0.179,64.932
3.167,-0.152,64.923
3.361,-0.123,64.913
3.545,-0.095,64.903
3.716,-0.070,64.894
3.871,-0.051,64.885
4.005,-0.038,64.876
4.115,-0.031,64.870
4.196,-0.029,64.864
4.263,-0.032,64.860
