x,y,z
9.670,1.835,23.054
9.528,1.839,23.113
9.365,1.852,23.180
9.151,1.868,23.265
8.888,1.885,23.367
8.578,1.906,23.482
8.230,1.930,23.607
7.850,1.955,23.736
7.444,1.979,23.866
7.021,1.996,23.994
6.583,1.999,24.118
6.131,1.987,24.237
5.667,1.959,24.349
5.197,1.917,24.454
4.726,1.857,24.549
4.254,1.779,24.635
3.784,1.687,24.712
3.322,1.584,24.778
2.874,1.470,24.834
2.443,1.349,24.880
2.036,1.221,24.917
1.657,1.088,24.945
1.309,0.951,24.966
0.996,0.813,24.980
0.723,0.675,24.990
0.490,0.539,24.995
0.300,0.408,24.998
0.156,0.283,25.000
0.058,0.166,25.000
0.006,0.064,25.000
0.000,0.035,25.000
