x,y,z
0.000,0.035,25.000
0.001,-0.005,25.000
0.021,-0.041,25.000
0.071,-0.091,25.000
0.187,-0.157,24.999
0.350,-0.214,24.998
0.557,-0.259,24.994
0.807,-0.288,24.987
1.096,-0.301,24.976
1.424,-0.297,24.959
1.787,-0.276,24.936
2.182,-0.237,24.905
2.604,-0.181,24.864
3.050,-0.108,24.813
3.515,-0.021,24.752
3.995,0.081,24.679
4.483,0.195,24.595
4.974,0.320,24.500
5.464,0.455,24.396
5.945,0.600,24.283
6.419,0.753,24.162
6.880,0.909,24.035
7.322,1.065,23.904
7.740,1.218,23.772
8.134,1.366,23.640
8.500,1.500,23.511
8.830,1.614,23.389
9.116,1.704,23.279
9.351,1.770,23.186
9.525,1.810,23.114
9.670,1.835,23.054
