x,y,z
5.985,0.285,44.600
5.895,0.300,44.612
5.793,0.321,44.626
5.660,0.349,44.643
5.496,0.382,44.663
5.304,0.421,44.686
5.089,0.465,44.711
4.856,0.512,44.737
4.608,0.560,44.763
4.350,0.606,44.789
4.083,0.644,44.814
3.807,0.674,44.839
3.525,0.696,44.862
3.238,0.710,44.883
2.951,0.713,44.903
2.662,0.706,44.921
2.374,0.690,44.937
2.091,0.666,44.951
1.816,0.636,44.963
1.551,0.599,44.973
1.300,0.556,44.981
1.065,0.508,44.987
0.848,0.456,44.992
0.653,0.400,44.995
0.480,0.340,44.997
0.332,0.279,44.999
0.210,0.216,45.000
0.115,0.154,45.000
0.047,0.093,45.000
0.009,0.037,45.000
0.003,0.021,45.000
0.000,-0.003,45.000
0.009,-0.026,45.000
0.035,-0.059,45.000
0.098,-0.108,45.000
0.189,-0.154,45.000
0.307,-0.197,44.999
0.453,-0.235,44.998
0.622,-0.266,44.996
0.816,-0.290,44.993
1.032,-0.306,44.988
1.269,-0.315,44.982
1.523,-0.316,44.974
1.794,-0.309,44.964
2.077,-0.295,44.952
2.371,-0.274,44.937
2.672,-0.247,44.921
2.976,-0.213,44.901
3.282,-0.174,44.880
3.584,-0.128,44.857
3.884,-0.077,44.832
4.177,-0.023,44.806
4.460,0.031,44.778
4.729,0.086,44.751
4.985,0.140,44.723
5.223,0.188,44.696
5.438,0.227,44.670
5.625,0.256,44.647
5.777,0.274,44.628
5.891,0.283,44.613
5.985,0.285,44.600
