x,y,z
7.542,0.740,34.178
7.428,0.753,34.203
7.299,0.775,34.230
7.131,0.802,34.266
6.923,0.833,34.308
6.680,0.870,34.357
6.408,0.912,34.408
6.112,0.957,34.462
5.797,1.002,34.517
5.469,1.044,34.570
5.131,1.076,34.622
4.781,1.096,34.672
4.423,1.107,34.719
4.060,1.106,34.764
3.696,1.092,34.804
3.331,1.064,34.841
2.968,1.026,34.874
2.611,0.978,34.902
2.264,0.922,34.927
1.930,0.858,34.947
1.614,0.788,34.963
1.319,0.712,34.975
1.048,0.632,34.984
0.804,0.548,34.991
0.588,0.462,34.995
0.404,0.375,34.998
0.253,0.288,34.999
0.136,0.203,35.000
0.054,0.121,35.000
0.009,0.047,35.000
0.002,0.026,35.000
0.001,-0.004,35.000
0.013,-0.032,35.000
0.048,-0.073,35.000
0.131,-0.131,35.000
0.250,-0.184,34.999
0.403,-0.231,34.998
0.589,-0.269,34.995
0.807,-0.298,34.991
1.055,-0.316,34.984
1.330,-0.323,34.975
1.630,-0.320,34.962
1.953,-0.305,34.945
2.296,-0.279,34.925
2.654,-0.244,34.899
3.025,-0.199,34.869
3.404,-0.145,34.834
3.787,-0.083,34.795
4.170,-0.014,34.751
4.550,0.064,34.703
4.925,0.148,34.652
5.291,0.234,34.598
5.644,0.322,34.542
5.979,0.409,34.485
6.297,0.493,34.429
6.593,0.569,34.373
6.861,0.633,34.321
7.093,0.681,34.274
7.283,0.714,34.234
7.424,0.732,34.204
7.542,0.740,34.178
